Type,Government,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,"Bahamas, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.758966691,9.628364577,9.572778305,10.46807347,11.35723308,11.72133112,11.36489178,11.27683872,11.61517322,11.08159947,11.66443645,11.68967796,9.971279771,10.15705973,10.53772217,11.69592993,12.80258209,12.85618912,13.51385521,12.8386455,12.86209615,14.20349807,13.71865228,12.71307665,13.334571,14.73805286,16.21234709,16.87974343,16.27411188,18.40797141,18.50972672,19.3893244
1,Bahrain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,26.66128894,26.13322601,25.01311271,24.9457972,21.84978398,21.97723952,23.89403544,25.64700485,21.06419873,23.16390651,30.73358278,28.3928899,28.46821021,27.50857492,26.30202218,27.83687338,26.45269406,24.9373659,27.90334426,20.05157245,22.71347839,26.26534236,26.34827526,24.32956674,24.96005684,18.20978428,17.55246371,18.1510493,21.76521805,23.71696269,17.83789563,21.07725622
1,Bangladesh,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.98470345,9.304329916,9.152409906,10.16549455,10.08054192,10.08541954,7.776617039,7.948018201,7.623937588,7.307971625,7.260038817,7.290508597,8.050870602,8.194342389,7.676991313,7.864392177,7.979367485,7.762887847,8.17493723,7.89590243,8.367746245,8.569630469,9.138723954,9.23074604,9.129085611,8.213396253,8.438036734,8.068158737,8.881893588,8.143962746,8.467771464,9.361879718
1,Barbados,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.14348709,25.7288035,25.25092325,27.87051231,26.68503743,26.90796335,27.87701884,28.06535451,27.65475729,28.49243028,27.10770276,27.57805049,25.81730979,26.28390395,27.60191609,25.92416947,24.97659353,27.44845636,26.55458796,24.92939854,25.60407686,25.91091061,28.292327,28.61326437,29.12306878,30.68518981,29.9004668,28.91988024
1,Belgium,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.281189919,6.365779877,5.960949898,7.060579777,6.263519764,9.169960022,5.420829773,5.806459904,6.019659996,6.3708601,6.292900085,5.878399849,5.178299904,5.915060043,6.145939827,6.232329845,6.129759789,5.975649834,5.473289967,4.785339832,4.874899864,4.64387989,4.888780117,5.413539886,5.429460049,4.913539886,4.856400013,4.916100025,4.899330139,4.615459919,4.679609776,4.336959839,4.441770077,4.343019962,4.347750187,4.226620197,4.459569931,3.813309908,3.799299955,4.196060181,4.726240158,5.025800228,5.075329781,5.201350212,5.514560223,6.29956007,6.396920204,6.397409916,6.50112009,7.7709198,7.898620129,9.236089706,8.174269676,8.052659988,8.474619865,7.918059826,8.398389816,8.852789879,8.587300301,8.841039658,8.892809868,10.4552002,10.66639996,14.09300041,9.099450111,9.358240128,10.98900032,10.88710022,10.85509968,8.549300194,10.83749962,9.406769753,9.615249634,9.399539948,11.1892004,10.5923996,9.270480156,9.157839775,9.39070034,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.93610001,no data,no data,22.32990074,no data,no data,16.60899925,no data,no data,20.96559906,19.67060089,16.74749947,16.28639984,17.02759933,17.03680038,17.44459915,no data,no data,no data,30.54910088,no data,no data,35.23749924,21.63529968,18.73920059,17.36450005,20.84749985,22.59799957,23.24010086,21.96310043,24.85980034,19.78120041,21.68379974,18.32769966,17.94949913,19.27470016,18.86389923,19.76189995,20.35479927,20.3003006,20.24810028,20.5447998,22.04980087,22.72500038,22.98209953,23.16160011,39.14559937,39.41880035,38.96099854,39.957901,40.64870071,43.73749924,43.81309891,45.65800095,46.25049973,46.48949814,45.46229935,46.05939865,47.27980042,47.66410065,48.24069977,48.31880188,47.62929916,47.87979889,46.57910156,44.73740005,45.51929855,46.07360077,45.63050079,47.41490173,47.43730164,47.57640076,48.41289902,48.90309906,49.38759995,49.46689987,49.00009918,49.4673996,49.62220001,50.85960007,48.94309998,49.27000046,48.66740036,47.99919891,48.60089874,47.97740173,48.75510025,50.97441804,52.15902117,52.98694258,52.54421792,51.30594526,50.75452527,51.34643299,51.39074661,49.9358272,50.17080038,49.38791596
1,Belize,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.63208705,18.71460878,18.99613595,17.97521239,17.32511903,19.32770956,19.68589161,16.66921983,17.73603419,18.28816786,19.46332703,22.68523391,23.5345199,21.02079844,21.5786667,22.63229293,22.01880074,22.59714349,23.0895674,22.74748527,23.30832046,24.21634337,25.71326318,24.73452272,23.93620556,23.06589104
1,Benin,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.96632187,14.87867393,14.14877273,15.69034853,15.81349079,16.39087338,17.58141115,18.00282522,17.98915719,17.38821152,12.69011699,11.94925497,12.17803124,11.95410272,12.61387,12.65477947,12.61524136,12.85928007,16.03146974,14.50851246,14.75579379,13.80024047,13.74647421,14.02036749,13.52899431,12.57401213,12.59972709,11.13915576,13.58122705,13.59107181,14.06153341,14.38920162,14.14613519
1,Bhutan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.38534976,50.14905755,39.39409954,30.76229973,32.58251614,33.29110159,42.89141842,40.55621334,40.53326175,43.44941529,38.58624898,34.79222669,41.78604832,42.58988068,40.96914352,37.5764815,26.39370015,35.36569987,31.7843352,35.97403098,36.57286249,36.01381955,41.43742155,47.48962651,36.65314501,36.65563202,30.950695,34.49099872,29.57625046,30.70563948,28.00251975,31.8821098,24.30360775,31.12599764,33.1582415
1,Bolivia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.965219975,4.221250057,2.973829985,2.274310112,2.379270077,2.065289974,2.684079885,8.108110428,6.902709961,7.405489922,6.787230015,7.861249924,7.41505003,7.77545023,8.16958046,8.802229881,9.320759773,8.820579529,8.45761013,8.158280373,8.111639977,7.589159966,8.127380371,10.34070015,12.35219955,12.06389999,15.65369987,7.456550121,7.36616993,6.838300228,4.49353981,4.291779995,9.087872349,12.2730783,3.628189969,11.98179908,19.5306292,16.71920258,17.47509345,18.90881881,18.37613142,19.9809203,20.8532779,21.08143392,23.76665075,23.96399524,24.14760682,24.9987838,24.87289953,25.5277415,25.58623402,25.13526236,24.50462908,24.11434327,26.80109231,30.93777854,34.30398261,34.39338284,38.90231953,35.83364365,33.1655584,36.1872081,37.79500156,39.08739761,39.89307964,37.68588856,32.6856957,30.77399116,28.95110066,28.84492736,25.25406201,25.07000141
1,Brazil,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.35479927,22.06900024,22.80699921,18.84059906,24.62960052,19.36510086,17.88730049,22.12120056,23.59379959,24.39389992,22.67440033,14.58600044,11.63269997,11.2553997,10.07600021,11.0394001,11.89000034,9.498430252,9.938650131,10.25559998,9.935480118,11.29629993,11.86209965,14.31029987,13.84379959,14.85179996,13.5,14.48649979,11.91889954,10.71430016,10.9375,10.25450039,10.78950024,11.47369957,9,8.977780342,9.958330154,9.763640404,11.25450039,7.542170048,9.40816021,8.909999847,8.100000381,7.862500191,6.816500187,7.917270184,7.16478014,8.157999992,7.776790142,8.804800034,7.627270222,9.73721981,9.420000076,11.03050041,9.916000366,9.075670242,8.452699661,8.244050026,8.621780396,8.433329582,9.676670074,8.511179924,8.39138031,8.971489906,9.444319725,8.612319946,7.817299843,7.448120117,8.050769806,7.78978014,7.122350216,8.491640091,8.693329811,7.089230061,8.36730957,7.008170128,7.378089905,7.91381979,7.777430058,7.743959904,9.856180191,9.072710037,16.23530006,16.98579979,16.60000038,12,13.30000019,11.39999962,12.80000019,10.60000038,11,11.39999962,12.5,11.10000038,11.10000038,10.69999981,10.69999981,10.5,10.10000038,9.399999619,9.300000191,8.800000191,9.5,9.800000191,9.600000381,9.800000191,10.10000038,no data,no data,no data,no data,no data,no data,no data,no data,no data,32.90310947,32.99698956,33.67984918,34.41406732,31.16225189,33.06140998,34.49666694,35.81490331,35.29457292,36.22348267,35.62599318,34.88196009,35.87839041,33.91291337,36.06940623,35.10859978,34.70817163,34.49100182,32.4957863,28.24333956,30.6604893,30.45413774,30.67378717,31.48951766,29.53483249,31.52541339
1,Bulgaria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.85140038,12.81099987,11.03509998,12.61740017,13.65340042,11.98700047,11.42329979,11.58199978,12.18229961,14.70440006,11.92199993,16.70870018,16.63619995,16.48620033,15.13099957,14.76949978,15.03579998,22.41349983,22.70899963,13.4048996,10.13239956,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.46590042,33.92520142,33.71929932,31.68849182,36.30689621,36.52535248,35.89706039,34.46034241,35.76719284,36.20384216,36.22048569,35.72201157,36.22308731,36.21189117,32.91596985,30.78872871,30.12090874,32.08339691,33.72319412,33.42756653,34.5439949,34.24961472,32.83348083,34.43425751,34.89572525,35.03725433,37.47421646
1,Burkina Faso,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.25564008,11.21025011,13.96203747,11.88580364,16.14794819,10.88652386,14.19699637,14.24072551,14.054273,15.94277784,16.7898959,18.08601007,17.38317047,17.14294966,18.10738073,16.7993067,16.10232244,15.03389157,15.80854109,16.06312973,15.3274395,36.22378177,17.8235595,14.96325339,17.35867211,17.59670432,18.39661287,19.90470612,21.71259521,19.19030772,18.26902538,18.54934107,19.33240175,19.57156581,20.08679992,19.77640441,21.01297122
1,Burundi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.54487317,26.54174827,20.50053445,21.4174273,18.4227168,16.64029194,18.04783848,17.45160991,18.21099644,16.6810042,18.68780793,21.73007473,25.3438898,22.58673546,26.54990389,36.45477709,38.45843051,32.84299085,37.20676147,38.6956159,33.75021169,32.87032827,24.52942044,15.60861195,15.46289705,19.08708858,19.35965699,22.37571392,22.33569254,23.64910993
1,Cabo Verde,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.44637211,35.49567859,30.64369956,27.77274119,30.08325342,25.39855196,24.30226948,24.59046645,28.58698816,24.54022339,28.75227999,27.54412178,28.27682531,28.56172119,28.69951587,27.61407695,28.63514009,25.6319673,24.4016629,24.53492602,22.87463268,26.89215418,26.60567378,28.59927744,25.75695372,26.82465146,24.69057779,22.62678354
1,Cambodia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.129115469,8.693262501,8.048011879,10.00370528,10.22930488,9.986305168,10.49878973,9.580466538,10.30315386,11.94758866,12.77999988,15.13033689,15.8853616,15.61856275,17.10808,15.89972684,17.15492162,18.74997045,20.07571619,19.62564807,20.81848384,21.58147463,23.7071515,26.77975506,24.47505131,22.20165167
